user,userId,userUrl,invalidSubmission,submissionUrl,commentId
"babsheykeyz","78378776","https://github.com/babsheykeyz","78378776+babsheykeyz@users.noreply.github.com","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094300358","1094300358"
"abbasido","78404964","https://github.com/abbasido","0xB0aa5260BB856537bB8b5848653fB2D5D7A257AA","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094240210","1094240210"
"SumanMahata","78903838","https://github.com/SumanMahata","Great ","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094180241","1094180241"
"xrayboy1515","81394477","https://github.com/xrayboy1515","0x2AdDA0Cd355FC25bC8A1D9be7A13A0b50B8280F5","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094245053","1094245053"
"kingemyrs","82511186","https://github.com/kingemyrs","kingemyrs","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094248373","1094248373"
"whyte01","82763888","https://github.com/whyte01","> Paste your Public ID in a comment below to associate it with your GitHub ID. Public IDs will be collected until **April 11, 2022**, after which we'll provide a new link to check if your GitHub ID was eligible using your key and secret. Keep them private and don't lose them! The new link will be shared here, on [Twitter](https://twitter.com/element_fi), and in our [Discord server](https://element.fi/discord).
> 
> **Ineligible submissions will be deleted. Beware bots! 🤖**

NRJVAJDZQh4zfFKiwusN8AxQUtayXZMv9t","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094239394","1094239394"
"imamiyadah","82909452","https://github.com/imamiyadah","check mine sir, goodluck 😉

imamiyadah","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094184224","1094184224"
"keyzeefresh","83486662","https://github.com/keyzeefresh","0xcfa388f71Ecd6214800D7BF222F8cF74499930b9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094224916","1094224916"
"Godsonchidera","84230464","https://github.com/Godsonchidera","0xd7475c4fD55e3e8ee531103BeDb49e5F192fce88","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094209499","1094209499"
"popesam1","85710169","https://github.com/popesam1","Popesam1","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094245881","1094245881"
"0z0vehe","85722067","https://github.com/0z0vehe","It is the bot","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094257879","1094257879"
"rexxiedaniels","85730138","https://github.com/rexxiedaniels","I thought I said I was not a bot this is unfair ","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094245804","1094245804"
"kheymax","85794521","https://github.com/kheymax","> 0xB75C96DFD1e1Ea705e1CCAc7209CfF7b8e3ee9eb

Not a bot 💯
Thanks","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094243358","1094243358"
"lanrie","86247542","https://github.com/lanrie","0xc4Aa2021F33856e88D2c9d53F89f5Bb949cF0267","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094249735","1094249735"
"Wqm12p","86619115","https://github.com/Wqm12p","0xA2E714Ca57cdB55F34B25210A4915A80Eb54f614","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094284711","1094284711"
"Kombet12","88523897","https://github.com/Kombet12","0x26AfD2CA3be16Ec7a9417754d601f97803d7831D","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094179378","1094179378"
"travisGHST","88559427","https://github.com/travisGHST","not a bot please
","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094243616","1094243616"
"Tamimkhan2021","90881987","https://github.com/Tamimkhan2021","Tamimkhan2021","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094306350","1094306350"
"Iamoptimist","91520131","https://github.com/Iamoptimist","0x659E0FACe812487A399Ef87E4ff355BeD09e0f7C","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094224539","1094224539"
"asjapbaru","92030950","https://github.com/asjapbaru","asjapajjh","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094247289","1094247289"
"Mhlabir","93470783","https://github.com/Mhlabir","0xA53db06B7Ce3106CA674887a8be4a7772B72bb9E","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094186298","1094186298"
"Kandar3","95110152","https://github.com/Kandar3","Good projects succes 🥳🥳🥳","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094193626","1094193626"
"Wenger123","95979786","https://github.com/Wenger123","0x5F6f80F13DF0410363ac507e7C73d6BA647Cb08C","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094185365","1094185365"
"Solace-exe","96593657","https://github.com/Solace-exe","0xf3993C7a15367b2c6bB240EEb25C45b131E37e7e","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094281828","1094281828"
"Marcell12345","96596595","https://github.com/Marcell12345","8Xo9H2rdcWeVJN9yh7GHtNbwEwxNPnwA6pUV3xrrTDKG","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094223548","1094223548"
"Astradapapagwen","97867406","https://github.com/Astradapapagwen","0xb81e1203c3d4d94ba76009d4214bb08a50acf789","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094211771","1094211771"
"Bayhan9615","98092724","https://github.com/Bayhan9615","good","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094303318","1094303318"
"Supolbellz1","98401725","https://github.com/Supolbellz1","0x804E46f064DAd93b67c6b5c4e7EB136D8F02B32B","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094227759","1094227759"
"Sammish211","98502436","https://github.com/Sammish211","Please don't delete my comment ","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094257649","1094257649"
"Dannyfaraday","99052109","https://github.com/Dannyfaraday","0x80C139B754cc04E8Ec4FE5A9660ed70A6A84bA64","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094258543","1094258543"
"Polarlichtes","103183904","https://github.com/Polarlichtes","Your bot checks deleted my reply, I'm not a bot , I only created this account a few days ago, and still trying to come to terms with how it works. I will only repost my ID if you review this and give me the nods by reacting to this. I'm not trying to spam either, so here you go, over to you...","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094355332","1094355332"
"Anisafilqubiangelica","103349339","https://github.com/Anisafilqubiangelica","0x66FFAe9A1b77f670F76b72366a6D0E1A34720E23","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094183971","1094183971"
"aberadesssd","103349767","https://github.com/aberadesssd","0x300187571ce48a3b92b1be65efebed99556c1e6e6c561613b2367a0151c2be","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094185790","1094185790"
"pakronal","103350220","https://github.com/pakronal","0xb3AA11A4A0ac5B7612CE4080880E6F86FA1069f5","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094184650","1094184650"
"laperedondada6469","103354005","https://github.com/laperedondada6469","Ox1a5f04822683ad95bab38d596d7e227a859a a886c3fc08a9f399e17caaa2970f




Please don't delete my comment","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094259700","1094259700"
"Pabloblaq","103359837","https://github.com/Pabloblaq","0x83cAdaf951627C9FCb83eC7Ed5E7FD8cda8adA59","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094232525","1094232525"
"fedmoonway","103360298","https://github.com/fedmoonway","0xcfa388f71Ecd6214800D7BF222F8cF74499930b9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094238581","1094238581"
"Sammiekay123","103363236","https://github.com/Sammiekay123","Sammiekay123","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094247124","1094247124"
